Platebarcode	Well	nrCells	area	intensity
301	A1	57631	59.3814296494133	0.0359313627322746
301	A2	47009	61.0727031034225	0.036649382824877
301	A3	55535	61.2267987414174	0.0376874316035498
301	A4	33303	59.7536814141501	0.030462822410809
301	A5	25176	54.1282195566044	0.0249011481870778
301	A6	27054	60.2438530446593	0.0306802200616665
301	A7	55082	60.6031205559014	0.039800364963084
301	A8	43131	61.6677967668494	0.0346096997869331
301	A9	53519	58.7473188690091	0.0342053100368157
301	A10	37404	60.8857421664074	0.0345249481941329
301	A11	24995	54.2582770683343	0.0269952013026556
301	A12	46992	60.1652652339125	0.0353177325176055
301	A13	57815	58.7435947099059	0.0373294354837066
301	A14	50343	61.5834887631513	0.0390503899970885
301	A15	49893	62.6258108145208	0.0380290603057651
301	A16	36055	59.7184486813837	0.0312166300101862
301	A17	23507	53.3390288303562	0.0247749042867984
301	A18	31131	60.961745498442	0.0332273580778761
301	A19	56557	60.6418926079583	0.0406446025010746
301	A20	48372	62.025825332788	0.0366304427780408
301	A21	50407	59.4311958886399	0.033993721509494
301	A22	39513	61.5764878350178	0.0352935542435824
301	A23	27220	55.4445003625416	0.0284427527551037
301	A24	48426	61.3002924092983	0.0361950882247584
301	B1	56923	59.0197257549206	0.035288684153301
301	B2	58059	55.3085501705192	0.034408267170882
301	B3	37310	63.8648880330649	0.0331674106538013
301	B4	53487	58.4506684238554	0.0358024728006558
301	B5	28773	80.2509337003222	0.0404353230447077
301	B6	59025	57.5739255846045	0.0384851310978933
301	B7	52204	60.5762609155594	0.0380363259219962
301	B8	47400	54.4108812236627	0.0318430700668282
301	B9	30517	63.279601931949	0.0294613179310211
301	B10	46028	60.9829122011383	0.0365915278031985
301	B11	29181	81.7042893297164	0.0441957451059219
301	B12	62831	57.4272284645543	0.0380622408267142
301	B13	58383	60.0245235947516	0.0372343394321336
301	B14	60329	55.614613143566	0.036223691144353
301	B15	42895	65.6459874495552	0.0364236232127835
301	B16	55738	60.1714075602141	0.0381077213321305
301	B17	30785	79.1493746741717	0.041700807372429
301	B18	60165	59.1025302755443	0.0398994581288272
301	B19	58912	61.5218489670676	0.0406342191119373
301	B20	54221	54.9358353715581	0.0335251968386603
301	B21	36968	63.8767196195872	0.032504387860804
301	B22	47827	61.19842486527	0.0373485283466322
301	B23	30606	80.2791601379788	0.0440201337541161
301	B24	61079	58.5524384964494	0.0385784564559133
301	C1	53593	59.0854417688599	0.0337438285703901
301	C2	58251	58.1371902893064	0.0361642542242564
301	C3	56119	58.9309979429374	0.0363968281674468
301	C4	55900	58.8080853054705	0.0347330828940883
301	C5	15754	47.480718092946	0.0196098679127074
301	C6	56298	59.0510581548406	0.0367159062027296
301	C7	51253	59.7263122116563	0.0363648699527121
301	C8	55868	57.832898248938	0.0351829566672519
301	C9	54450	58.4238231670701	0.0345752814482651
301	C10	54601	59.8066762298179	0.0381183696266459
301	C11	15168	47.7907469890552	0.0211965158954744
301	C12	55232	58.2773030199877	0.0355037007054584
301	C13	53791	59.7458380129501	0.0352830449569885
301	C14	57237	59.1253149239488	0.0376081472233039
301	C15	57353	59.5914877361242	0.0382160664412593
301	C16	55722	59.6812264256019	0.0364874328380359
301	C17	15795	47.5115229930984	0.0205021730333705
301	C18	58059	59.7544445022701	0.0380011153999318
301	C19	55108	60.3407301603967	0.0382744081602762
301	C20	60355	58.865782886706	0.0367566578438532
301	C21	59685	59.0293677634437	0.0359376321173011
301	C22	58767	60.7456188746368	0.0397600027338231
301	C23	17998	50.6701092457912	0.022574625930484
301	C24	58281	59.9456055047839	0.0370831074650134
301	D1	47779	57.6496624000823	0.0302012145733261
301	D2	52046	58.042407525508	0.0340228647474098
301	D3	49801	60.38288726399	0.0351845824486256
301	D4	57754	57.8757462287458	0.0330111526628464
301	D5	55370	57.1959817090269	0.0324228048938974
301	D6	45114	59.3168938390384	0.0339642851367301
301	D7	50438	58.7762668549315	0.0351977923571576
301	D8	53368	58.443002908549	0.0331472326912721
301	D9	53568	58.6941276338856	0.0338417943482292
301	D10	54734	58.6820318554713	0.0362265593527552
301	D11	57360	58.9859717652572	0.0373049099930347
301	D12	39529	56.8175933331562	0.0297865069122405
301	D13	54294	58.4101022119662	0.0334628136724108
301	D14	57465	59.606293753681	0.0369514733364901
301	D15	53762	60.6025237302178	0.0373038752379605
301	D16	58108	59.1123964589793	0.0344383227742723
301	D17	56701	58.4762404649302	0.0343682084349816
301	D18	50209	60.5243605062505	0.0373145097427463
301	D19	54815	60.7411823674365	0.0376471940945016
301	D20	56569	59.3619531421828	0.0344203956221515
301	D21	58601	58.7116909546686	0.0348468676904979
301	D22	57795	59.5905008584872	0.0376832602571079
301	D23	59875	59.5741521466179	0.0380199607966874
301	D24	40157	56.587402171122	0.0287074336930591
301	E1	22517	57.7900055639623	0.0284284783556183
301	E2	56854	59.3218891998818	0.0402943395269797
301	E3	59142	61.066313951511	0.0419458326170444
301	E4	52614	61.7956148433254	0.0398728275645852
301	E5	52754	61.52470283365	0.0375879225980028
301	E6	54804	59.9647479750482	0.0408932895614023
301	E7	22342	57.1131738711648	0.0303737246052131
301	E8	55021	60.4079464019301	0.0392580773405264
301	E9	59001	59.9650480235011	0.0392330463849335
301	E10	54379	62.7610433773746	0.0435256153116181
301	E11	51902	62.0508625215128	0.0411458117670977
301	E12	56435	60.2331076780374	0.0396405576637793
301	E13	24469	57.2574246095105	0.0289032079354447
301	E14	57984	60.6420542838897	0.0419740065935991
301	E15	59019	61.2348309051699	0.0423163207463455
301	E16	51310	62.6544803706163	0.0405582414921638
