Filename	Platebarcode	Plate	Replicate
Data_Dmel2_PPMAPK_4.txt	507	7	2
Data_Dmel2_PPMAPK_4.txt	508	8	2
Data_Dmel2_PPMAPK_4.txt	509	9	2
Data_Dmel2_PPMAPK_4.txt	510	10	2
Data_Dmel2_PPMAPK_4.txt	511	11	2
Data_Dmel2_PPMAPK_4.txt	512	12	2
Data_Dmel2_PPMAPK_4.txt	513	13	2
Data_Dmel2_PPMAPK_4.txt	514	14	2
Data_Dmel2_PPMAPK_4.txt	515	15	2
Data_Dmel2_PPMAPK_4.txt	516	16	2
Data_Dmel2_PPMAPK_4.txt	517	17	2
Data_Dmel2_PPMAPK_4.txt	518	18	2
Data_Dmel2_PPMAPK_4.txt	519	19	2
Data_Dmel2_PPMAPK_4.txt	520	20	2
Data_Dmel2_PPMAPK_4.txt	521	21	2
Data_Dmel2_PPMAPK_4.txt	522	22	2
Data_Dmel2_PPMAPK_4.txt	523	23	2
Data_Dmel2_PPMAPK_4.txt	524	24	2
Data_Dmel2_PPMAPK_4.txt	525	25	2
Data_Dmel2_PPMAPK_4.txt	526	26	2
Data_Dmel2_PPMAPK_4.txt	527	27	2
Data_Dmel2_PPMAPK_4.txt	528	28	2
Data_Dmel2_PPMAPK_4.txt	529	29	2
Data_Dmel2_PPMAPK_4.txt	530	30	2
Data_Dmel2_PPMAPK_4.txt	531	31	2
Data_Dmel2_PPMAPK_4.txt	532	32	2
Data_Dmel2_PPMAPK_4.txt	533	33	2
Data_Dmel2_PPMAPK_4.txt	534	34	2
Data_Dmel2_PPMAPK_4.txt	535	35	2
Data_Dmel2_PPMAPK_4.txt	536	36	2
Data_Dmel2_PPMAPK_4.txt	537	37	2
Data_Dmel2_PPMAPK_4.txt	538	38	2
Data_Dmel2_PPMAPK_4.txt	539	39	2
Data_Dmel2_PPMAPK_4.txt	540	40	2
Data_Dmel2_PPMAPK_4.txt	541	41	2
Data_Dmel2_PPMAPK_4.txt	542	42	2
Data_Dmel2_PPMAPK_4.txt	543	43	2
Data_Dmel2_PPMAPK_4.txt	544	44	2
Data_Dmel2_PPMAPK_4.txt	545	45	2
Data_Dmel2_PPMAPK_4.txt	546	46	2
Data_Dmel2_PPMAPK_4.txt	547	47	2
Data_Dmel2_PPMAPK_4.txt	548	48	2
Data_Dmel2_PPMAPK_4.txt	549	49	2
Data_Dmel2_PPMAPK_4.txt	550	50	2
Data_Dmel2_PPMAPK_4.txt	551	51	2
Data_Dmel2_PPMAPK_4.txt	552	52	2
Data_Dmel2_PPMAPK_4.txt	553	53	2
Data_Dmel2_PPMAPK_4.txt	554	54	2
Data_Dmel2_PPMAPK_4.txt	555	55	2
Data_Dmel2_PPMAPK_4.txt	556	56	2
Data_Dmel2_PPMAPK_4.txt	557	57	2
Data_Dmel2_PPMAPK_4.txt	558	58	2
Data_Dmel2_PPMAPK_4.txt	559	59	2
Data_Dmel2_PPMAPK_4.txt	560	60	2
Data_Dmel2_PPMAPK_4.txt	561	61	2
Data_Dmel2_PPMAPK_4.txt	562	62	2
Data_Dmel2_PPMAPK_4.txt	563	63	2
Data_Dmel2_PPMAPK_4.txt	564	64	2
Data_Dmel2_PPMAPK_4.txt	565	65	2
Data_Dmel2_PPMAPK_4.txt	566	66	2
Data_Dmel2_PPMAPK_4.txt	567	67	2
Data_Dmel2_PPMAPK_4.txt	568	68	2
Data_Dmel2_PPMAPK_4.txt	569	69	2
Data_Dmel2_PPMAPK_4.txt	570	70	2
Data_Dmel2_PPMAPK_4.txt	571	71	2
Data_Dmel2_PPMAPK_4.txt	572	72	2
Data_Dmel2_PPMAPK_4.txt	573	73	2
Data_Dmel2_PPMAPK_4.txt	574	74	2
Data_Dmel2_PPMAPK_4.txt	575	75	2
Data_Dmel2_PPMAPK_4.txt	576	76	2
Data_Dmel2_PPMAPK_4.txt	577	77	2
Data_Dmel2_PPMAPK_4.txt	578	78	2
Data_Dmel2_PPMAPK_4.txt	579	79	2
Data_Dmel2_PPMAPK_4.txt	580	80	2
Data_Dmel2_PPMAPK_4.txt	581	81	2
Data_Dmel2_PPMAPK_4.txt	582	82	2
Data_Dmel2_PPMAPK_4.txt	583	83	2
Data_Dmel2_PPMAPK_4.txt	584	84	2
Data_Dmel2_PPMAPK_4.txt	585	85	2
Data_Dmel2_PPMAPK_4.txt	586	86	2
Data_Dmel2_PPMAPK_4.txt	587	87	2
Data_Dmel2_PPMAPK_4.txt	588	88	2
Data_Dmel2_PPMAPK_4.txt	589	89	2
Data_Dmel2_PPMAPK_4.txt	590	90	2
Data_Dmel2_PPMAPK_4.txt	591	91	2
Data_Dmel2_PPMAPK_4.txt	592	92	2
Data_Dmel2_PPMAPK_4.txt	593	93	2
Data_Dmel2_PPMAPK_4.txt	594	94	2
Data_Dmel2_PPMAPK_4.txt	595	95	2
Data_Dmel2_PPMAPK_4.txt	596	96	2
